,precision,recall,f1-score,support
freshapples,1.0,0.9952153110047847,0.9976019184652278,209.0
freshlemons,0.9572649572649573,0.9911504424778761,0.9739130434782609,113.0
freshoranges,1.0,0.994535519125683,0.9972602739726028,183.0
rottenapples,0.9966101694915255,1.0,0.99830220713073,294.0
rottenlemons,0.9782608695652174,0.9473684210526315,0.9625668449197861,95.0
rottenoranges,1.0,1.0,1.0,200.0
accuracy,0.9926873857404022,0.9926873857404022,0.9926873857404022,0.9926873857404022
macro avg,0.9886893327202834,0.988044948943496,0.9882740479944346,1094.0
weighted avg,0.9927871230440075,0.9926873857404022,0.9926821793172548,1094.0
